Date	Open	High	Low	Close	Volume	Vol2	MA1	MA2	MA3	MA4	MA5	MA6
2014/07/28	2276.0000	2357.6001	2275.0000	2336.3999	891896.00	621486669824	109968	2245.68	2203.54	2179.24	2166.707	2155.773	2171.922
2014/07/29	2340.3999	2359.6001	2329.2000	2335.3999	687886.00	483052290048	108142	2275.48	2220.78	2188.2	2172.12	2158.753	2172.717
2014/07/30	2333.0000	2348.3999	2325.0000	2328.8000	713562.00	499864731648	108288	2303.12	2237.32	2196.48	2177.607	2161.82	2173.797
2014/07/31	2330.0000	2371.2000	2323.0000	2370.8000	775762.00	545009631232	111769	2329.2	2258.82	2206.65	2185.447	2165.733	2175.098
2014/08/01	2365.0000	2391.8000	2333.2000	2342.6001	929869.00	659455803392	107083	2342.8	2276.34	2215.45	2192.533	2169.153	2175.783
2014/08/04	2343.2000	2392.3999	2343.2000	2386.3999	901824.00	640852426752	112696	2352.8	2299.24	2226.61	2201.307	2173.293	2176.692
2014/08/05	2388.2000	2394.2000	2360.6001	2368.0000	830224.00	591179612160	110302	2359.32	2317.4	2236.66	2209.167	2176.447	2177.392
2014/08/06	2363.6001	2377.2000	2337.3999	2362.0000	865135.00	612346494976	105568	2365.96	2334.54	2248.15	2217.033	2179.703	2178.13
2014/08/07	2366.3999	2376.2000	2330.8000	2334.3999	848414.00	598693314560	101482	2358.68	2343.94	2258.21	2223.66	2182.517	2178.513
2014/08/08	2334.3999	2349.8000	2326.0000	2338.6001	697998.00	489580756992	96575	2357.88	2350.34	2268.24	2230.2	2185.703	2178.79
2014/08/11	2346.0000	2376.3999	2342.0000	2360.0000	728559.00	516535746560	91644	2352.6	2352.7	2278.12	2237.06	2189.333	2179.453
2014/08/12	2362.0000	2366.8000	2345.0000	2365.8000	593424.00	419184443392	76221	2352.16	2355.74	2288.26	2244.047	2193.77	2179.967
2014/08/13	2367.0000	2373.3999	2335.2000	2358.8000	554012.00	391320993792	48351	2351.52	2358.74	2298.03	2250.567	2198.093	2180.59
2014/08/14	2365.0000	2366.8000	2333.0000	2335.6001	248949.00	175734226944	22100	2351.76	2355.22	2307.02	2256.173	2201.7	2181.21
2014/08/15	2342.0000	2365.0000	2333.8000	2360.2000	78527.00	55372533760	0	2356.08	2356.98	2316.66	2262.627	2205.8	2182.493
2014/08/18	2378.0000	2394.0000	2367.3999	2376.2000	701287.00	500285734912	145024	2359.32	2355.96	2327.6	2269.727	2209.683	2184.415
2014/08/19	2379.8000	2384.2000	2357.0000	2374.3999	698616.00	497365483520	140228	2361.04	2356.6	2337	2276.64	2213.453	2186.293
2014/08/20	2374.0000	2378.6001	2361.0000	2364.3999	666923.00	473986301952	138239	2362.16	2356.84	2345.69	2284.38	2217.157	2188.095
2014/08/21	2367.0000	2369.3999	2336.2000	2354.8000	685140.00	483331375104	135270	2366	2358.88	2351.41	2291.767	2220.173	2189.602
2014/08/22	2356.2000	2374.3999	2351.6001	2372.2000	691779.00	490295230464	133423	2368.4	2362.24	2356.29	2299.573	2223.82	2191.338
2014/08/25	2373.6001	2377.2000	2341.8000	2348.0000	676285.00	477781950464	133287	2362.76	2361.04	2356.87	2305.76	2227.157	2192.823
2014/08/26	2347.8000	2355.6001	2327.8000	2337.6001	722864.00	508116860928	134605	2355.4	2358.22	2356.98	2311.58	2230.463	2194.39
2014/08/27	2338.6001	2347.6001	2333.3999	2336.0000	517339.00	363194384384	133376	2349.72	2355.94	2357.34	2317.333	2233.977	2195.795
2014/08/28	2336.6001	2343.8000	2321.6001	2330.6001	631839.00	442183745536	135584	2344.88	2355.44	2355.33	2323.16	2236.993	2197.373
2014/08/29	2327.8000	2352.8000	2327.6001	2351.6001	585425.00	410788593664	132741	2340.76	2354.58	2355.78	2329.3	2240.76	2199.78
2014/09/01	2353.0000	2359.0000	2341.8000	2349.6001	553454.00	390499106816	129291	2341.08	2351.92	2353.94	2335.707	2244.45	2201.955
2014/09/02	2352.0000	2395.6001	2347.3999	2389.3999	801993.00	569538445312	133651	2351.44	2353.42	2355.01	2342.473	2248.313	2204.485
2014/09/03	2393.6001	2424.8000	2391.0000	2411.6001	814246.00	589442711552	133160	2366.56	2358.14	2357.49	2349.84	2252.653	2207.037
2014/09/04	2413.8000	2446.0000	2411.2000	2445.6001	771774.00	561495343104	138771	2389.56	2367.22	2363.05	2356.68	2257.573	2209.917
2014/09/05	2450.0000	2475.3999	2443.2000	2470.2000	862928.00	635809497088	148414	2413.28	2377.02	2369.63	2363.2	2262.457	2212.69
2014/09/09	2471.0000	2473.0000	2449.0000	2457.6001	605014.00	446159650816	143510	2434.88	2387.98	2374.51	2367.24	2266.973	2215.55
2014/09/10	2451.0000	2453.2000	2427.3999	2441.3999	663006.00	485065687040	133476	2445.28	2398.36	2378.29	2370.773	2271.447	2218.202
2014/09/11	2441.2000	2478.6001	2417.6001	2418.0000	1044577.00	765525360640	124423	2446.56	2406.56	2381.25	2373.747	2275.677	2221.005
2014/09/12	2419.0000	2445.8000	2415.8000	2439.2000	779624.00	568571461632	118789	2445.28	2417.42	2386.43	2376.027	2280.737	2223.468
2014/09/15	2430.0000	2442.0000	2421.0000	2433.0000	649235.00	473685983232	103455	2437.84	2425.56	2390.07	2379.04	2285.787	2225.82
2014/09/16	2434.6001	2452.0000	2386.2000	2394.2000	892304.00	649410576384	82060	2425.16	2430.02	2390.97	2379.3	2290.303	2227.833
2014/09/17	2404.6001	2408.8000	2386.6001	2402.0000	530455.00	381919756288	61413	2417.28	2431.28	2392.35	2380.433	2294.8	2229.908
2014/09/18	2402.0000	2415.0000	2392.2000	2405.8000	244568.00	176328048640	27951	2414.84	2430.7	2394.42	2381.893	2299.463	2232.167
2014/09/19	2418.0000	2421.8000	2402.3999	2419.3999	86754.00	62785191936	0	2410.88	2428.08	2397.65	2384.727	2304.193	2234.453
2014/09/22	2438.2000	2438.6001	2375.6001	2389.2000	813739.00	585866805248	130900	2402.12	2419.98	2398.5	2386.413	2308.307	2236.502
2014/09/23	2387.6001	2416.8000	2387.0000	2403.8000	752765.00	542797201408	132865	2404.04	2414.6	2401.29	2387.873	2312.467	2238.547
2014/09/24	2402.8000	2469.8000	2393.0000	2468.3999	1032475.00	755009912832	157619	2417.32	2417.3	2407.83	2391.293	2317.67	2240.992
2014/09/25	2476.0000	2495.8000	2445.0000	2454.6001	974558.00	723245989888	154715	2427.08	2420.96	2413.76	2394.487	2322.527	2243.45
2014/09/26	2446.6001	2464.6001	2435.2000	2450.8000	833638.00	612935598080	152423	2433.36	2422.12	2419.77	2398.327	2327.25	2245.64
2014/09/29	2450.0000	2462.3999	2440.2000	2455.2000	610894.00	449590591488	146791	2446.56	2424.34	2424.95	2401.493	2332.06	2247.373
2014/09/30	2460.2000	2466.8000	2445.2000	2453.2000	563308.00	415202115584	137904	2456.44	2430.24	2430.13	2404.06	2336.893	2249.182
2014/10/08	2468.0000	2486.0000	2446.8000	2483.6001	684472.00	506567000064	134400	2459.48	2438.4	2434.84	2407.7	2342.17	2250.837
2014/10/09	2487.0000	2494.8000	2467.2000	2475.0000	643682.00	479203819520	130869	2463.56	2445.32	2438.01	2411.387	2347.883	2252.528
2014/10/10	2468.2000	2483.0000	2457.0000	2469.8000	714532.00	529315135488	121314	2467.36	2450.36	2439.22	2415.22	2353.493	2254.173
2014/10/13	2465.2000	2467.0000	2425.0000	2454.3999	718714.00	526834499584	110836	2467.2	2456.88	2438.43	2417.96	2358.767	2255.987
2014/10/14	2449.6001	2462.3999	2423.2000	2438.6001	719856.00	528044523520	91676	2464.28	2460.36	2437.48	2420.98	2363.37	2257.7
2014/10/15	2440.0000	2465.8000	2425.3999	2455.0000	762348.00	559637463040	63703	2458.56	2459.02	2438.16	2424.893	2368.237	2259.583
2014/10/16	2445.0000	2475.8000	2438.3999	2446.6001	435024.00	320586842112	26584	2452.88	2458.22	2439.59	2428.58	2372.957	2261.46
